n_dpe,version_dpe,methode_du_dpe,categorie_erp,secteur_activite,type_energie_principale_chauffage,type_energie_n_1,type_usage_energie_n_1,conso_kwhep_m2_an,emission_ges_kgco2_m2_an,surface_utile,conso_finale_energie,conso_primaire_energie,frais_annuel_energie,annee_construction,etiquette_dpe
2292T0510250E,3,0,4,7,5,5,2,251.2,8.0,100.0,92320.3,124217.29999999999,9297.5,2022,5
2306T0902861I,4,2,4,8,6,7,6,291.1,8.1,100.0,735620.0,1691926.0,90481.0,2015,5
2378T4385930H,5,2,4,10,6,4,6,181.2,32.8,100.0,61652.0,70952.2,8136.0,-1,4
2151T0657510K,1,2,4,9,6,7,6,369.1,10.3,100.0,183435.0,421900.5,29385.0,1948,5
2369T3266765D,5,3,4,21,6,7,6,67.9,1.9,100.0,4409.6,10142.1,589.1,-1,2
2206T0378821X,3,2,4,9,6,7,6,2006.1,55.8,100.0,44748.7,102921.9,8895.7,1947,7
2301T0235026E,4,2,4,9,6,7,6,266.8,7.4,100.0,15387.5,35391.3,4463.0,-1,4
2333T0636600O,4,3,4,11,6,7,6,312.6,8.7,100.0,4018.6,9242.8,1165.7,-1,3
2267T0450482L,3,2,4,25,6,7,6,331.8,9.2,100.0,11268.0,25916.4,1914.0,1989,4
2375T0503036C,4,2,5,25,7,7,2,302.2,21.8,3000.0,927707.0,2133726.1,148387.1,1940,4
2387T3124437R,5,2,4,24,6,7,6,229.3,6.4,100.0,21931.0,50441.3,4884.0,-1,4
2385T0547451T,4,2,5,24,6,7,6,212.7,33.9,4762.0,734038.0,1688287.4,113155.4,1977,3
2254T0816620E,2,2,0,24,7,7,2,144.0,10.0,6821.1,558254.9,144.8,80003.6,2009,3
2384T1940055K,4,2,4,19,6,7,6,292.1,8.1,100.0,25452.0,58539.6,7383.0,-1,4
2387T0311802K,4,2,5,24,7,7,5,428.0,11.9,916.6,170568.0,392306.4,27328.0,1980,6
2245T0937013I,3,2,4,21,6,4,6,260.5,59.1,100.0,18655.0,18655.0,2075.0,1947,4
2345T0499170G,4,2,4,22,6,7,6,200.9,11.4,100.0,199721.3,386649.0,21759.1,-1,4
2359T3002032S,5,2,4,7,6,4,6,260.2,41.6,100.0,829874.0,1024508.7,65864.0,-1,3
2375T4408546A,5,2,0,21,7,7,2,204.0,10.0,18249.5,1941868.7,204.4,0.0,1945,3
2238T0252132M,3,2,4,9,6,7,6,290.2,8.1,100.0,7328.0,16854.4,2030.0,1947,5
2170T0969720F,2,2,4,24,6,7,6,42.3,1.2,100.0,2671.5,6144.5,534.5,2007,1
2258T1869474S,3,2,4,25,6,7,6,208.7,5.8,100.0,17963.3,41315.7,2872.0,-1,3
2294T3059235D,4,3,5,24,6,7,6,305.5,8.5,52.2,6935.0,15950.5,1185.2,1992,5
2242T0491842G,3,2,4,9,6,4,6,296.1,56.1,100.0,36796.8,41198.600000000006,3159.0,1947,5
2269T2621073U,4,3,4,10,6,7,6,604.9,16.8,100.0,34135.0,78510.5,9902.0,-1,7
2121T0993621P,1,2,5,6,4,4,2,377.0,37.0,1991.0,804054.0,804054.0,47034.0,1970,5
2360T3029539S,5,2,0,24,4,4,2,111.0,11.0,38313.0,2151609.0,76.0,209831.40000000002,2013,3
2346T4053160F,5,2,5,24,6,7,6,295.6,8.2,579.5,74477.0,171297.1,11964.1,1980,5
2301T0215987X,4,2,4,25,6,4,6,87.8,19.9,100.0,65699.7,65699.7,7306.3,1999,2
2362T3052829O,5,2,5,24,6,7,6,312.9,8.7,698.6,95032.0,218573.6,15250.7,2000,5
2306T2086891Y,4,2,5,21,6,7,3,93.0,3.0,199.1,21615.0,55770.0,3684.0,1900,2
2335T3934721L,5,2,5,24,7,7,2,116.2,3.2,1445.0,206881.1,475826.3,47931.899999999994,1990,3
2306T2231437K,5,3,5,25,7,7,2,405.7,11.3,131.5,46293.0,106473.9,7439.1,1980,5
2278T1423204G,3,2,5,25,2,7,1,224.5,16.3,1362.0,154150.3,310607.89999999997,22388.899999999998,1988,4
2261T2491437M,4,2,5,24,6,7,6,1716.1,49.8,280.0,210223.3,480520.6,33629.9,1900,7
2106T0614464B,1,4,4,9,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1989,1
2169T0877555J,2,2,4,21,7,7,2,109.2,3.0,100.0,448146.10000000003,1030735.7,129993.90000000001,2004,2
2376T2331815U,4,3,4,10,6,7,6,527.3,40.4,100.0,39912.8,69602.2,6030.0,-1,7
2338T4322958T,5,2,4,7,6,4,6,189.5,39.0,100.0,42106.0,44819.9,2822.6000000000004,-1,4
2362T2644050H,5,3,4,10,0,0,2,253.7,7.4,100.0,32000.0,43700.0,3988.0,-1,4
2201T1536373Y,3,2,5,25,6,5,6,185.8,8.2,70.5,13103.4,13103.4,1031.2,1950,3
2229T2606364N,4,2,4,25,6,7,6,136.9,3.8,100.0,9180.0,21114.0,1230.0,-1,3
2275T2429795E,4,2,4,25,6,7,6,285.2,7.9,100.0,132297.3,304283.9,38366.0,-1,4
2269T1114320T,3,2,4,9,6,7,6,174.7,4.9,100.0,10864.0,24987.2,1304.0,-1,4
2155T0617414K,1,2,4,25,6,7,6,296.4,8.2,100.0,7442.0,17116.6,2159.0,1989,5
2175T0120089H,0,6,4,7,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,1948,1
2259T0585003A,3,2,4,9,6,4,6,318.1,45.3,100.0,23992.2,31579.0,2393.8,1947,5
2292T1497784G,3,2,4,24,6,4,6,203.0,31.9,100.0,68084.2,84859.4,19751.0,-1,4
2259T0242040D,3,2,4,18,6,7,6,110.6,3.1,100.0,8596.0,19770.8,2493.0,1975,2
2113T0140992W,0,6,4,24,6,7,6,0.1,0.1,100.0,0.1,0.1,0.1,2013,1
2330T2509393Y,4,2,4,9,6,7,6,143.4,4.0,100.0,205747.0,473218.1,59681.0,-1,3
2357T2415722G,5,2,5,25,6,7,6,213.0,5.9,74.4,13778.0,31689.4,2262.0,1981,4
2438T0463504G,5,3,4,9,6,7,6,836.1,23.3,100.0,17889.3,41145.5,3757.0,-1,7
